,JC1 ,LQ2,PP3,MM4,HZ5,GA6,DM7,AB8 ,AI9 ,BO10,BR11 ,CA12 ,DH13,EX14,GE15 ,GO16 ,HY17,JF18,LA19 ,LS20,NO21,PE22 ,PL23 ,PR24 ,PS25 ,SI26,TU27 ,TY28 ,VI29,WCH30,WCL31,WH32,WT33,XX34 ,RU35 ,QI36,Q41,Q42,Q43,Q44,Q45,Q46,Q84_1,SC0
,1,2,5,5,1,3,5,3,1,3,1,3,2,1,5,5,5,1,4,2,3,1,5,3,1,5,5,3,2,3,1,3,2,1,2,1,2005,2,2,1,1,1,10,26
,4,1,3,2,4,4,4,4,4,1,1,3,1,4,1,2,5,5,5,4,3,1,1,3,4,3,5,3,3,2,4,5,3,5,2,5,1987,1,2,1,1,1,8,21
,5,4,3,,4,5,2,4,1,5,3,4,1,3,5,2,1,1,4,2,4,3,3,3,2,4,2,5,2,4,,5,2,1,2,2,1987,1,2,1,1,1,8,18.5
,1,4,2,5,3,4,2,5,2,5,3,1,3,2,4,4,5,1,2,2,3,5,3,1,1,5,3,1,2,1,3,5,5,5,4,5,1987,1,2,1,,1,8,29.5
,3,1,5,5,1,4,5,1,1,1,1,5,2,4,3,3,1,4,4,1,1,1,2,2,3,5,1,3,2,5,1,3,3,1,2,3,2001,1,2,2,2,1,8,19
,4,2,2,2,5,2,2,4,3,2,2,4,1,2,4,4,4,1,3,5,1,3,2,1,1,3,3,4,1,3,2,2,1,3,5,1,2007,2,5,1,1,1,7,34.5
,4,4,5,5,1,2,3,1,2,3,3,2,4,5,2,2,1,5,2,2,5,4,3,3,2,4,1,4,4,2,1,2,1,2,3,4,2007,2,5,1,1,1,8,19.5
,1,3,5,2,3,5,5,5,1,1,4,5,2,2,5,1,5,1,4,2,1,1,1,2,4,1,1,3,3,5,4,4,2,5,3,5,1999,2,5,1,2,3,8,34
,1,1,5,3,1,3,5,4,1,2,1,2,3,4,5,4,4,1,4,1,3,1,1,2,3,5,1,1,3,5,3,5,2,1,5,1,1995,2,2,2,1,2,10,28
,1,1,2,5,1,5,2,5,1,2,4,5,1,2,5,1,5,2,1,1,1,1,1,1,3,3,2,1,2,1,4,1,5,1,5,4,1999,2,5,1,2,2,10,39
,4,1,5,3,1,3,5,1,1,4,1,1,5,4,4,1,1,1,4,1,3,1,3,3,3,,5,3,2,4,3,3,3,1,4,4,2005,2,,,1,2,10,21
,1,1,5,1,1,1,5,1,1,3,1,1,1,2,4,1,1,3,2,3,4,1,4,1,1,5,1,1,2,3,1,1,1,3,1,1,2004,2,2,1,1,2,9,34
,1,1,5,2,2,1,5,4,1,5,1,2,3,4,5,5,5,1,4,1,4,1,5,1,1,3,4,3,3,1,4,1,1,4,4,1,2006,2,2,1,1,1,9,28.5
,3,1,5,3,1,4,5,2,2,5,1,4,1,5,5,2,1,4,3,1,2,2,5,1,4,5,3,1,4,4,1,4,1,1,2,1,2005,2,5,1,2,2,,22
,2,1,5,3,1,3,5,4,2,1,1,5,1,4,5,4,3,4,2,2,5,4,2,5,3,4,1,4,4,5,1,3,2,3,5,1,2005,2,3,1,2,3,1,23.5
,4,1,5,5,1,5,4,,4,1,4,4,1,4,1,1,5,4,1,1,1,1,5,1,5,5,1,4,4,5,1,5,1,1,1,5,2005,2,5,2,1,1,0,25.5
,1,5,5,4,1,4,5,2,1,2,1,4,2,3,5,1,1,3,4,1,4,4,5,1,4,4,1,5,2,5,3,1,3,2,4,1,2005,2,2,1,2,2,5,25.5
,1,4,5,5,2,1,5,1,1,1,1,3,5,4,5,1,1,3,5,1,1,1,5,1,1,5,4,1,1,5,1,1,5,2,5,1,2006,2,2,1,2,2,8,30
,4,3,1,,1,5,5,4,,1,5,1,2,1,3,,5,3,4,3,3,1,5,1,3,5,5,1,,3,5,1,1,3,1,3,2006,2,2,1,2,2,8,26
,3,2,5,1,2,5,5,1,1,1,4,3,5,5,1,1,1,1,3,1,1,2,5,3,3,5,5,3,1,2,1,4,1,1,1,3,2001,1,2,2,1,1,2,23.5
,1,5,5,5,1,1,1,1,,5,5,1,5,3,5,5,3,1,5,5,1,5,1,5,5,5,5,1,5,1,,5,4,2,5,1,2006,2,2,1,2,2,8,18.5
,1,1,5,1,1,5,5,1,1,1,1,1,1,1,5,5,5,1,1,4,5,1,5,1,1,5,5,4,1,5,1,1,1,1,1,1,2006,2,2,1,1,1,5,36
,2,2,5,3,1,1,5,3,2,4,4,1,1,3,5,3,2,1,4,1,1,4,1,1,3,5,5,1,1,4,1,1,2,1,4,1,2006,2,1,2,1,2,0,30.5
,3,1,5,1,3,5,3,3,2,1,1,5,1,1,5,1,1,1,3,1,5,1,1,3,5,5,1,3,3,5,4,1,1,1,5,5,2000,1,2,1,2,1,4,31
,1,1,5,4,3,3,5,2,2,5,1,4,1,4,5,2,2,3,3,3,4,1,4,1,5,5,5,4,2,4,3,4,5,2,4,4,2005,2,3,1,3,2,7,26.5
,4,3,5,4,1,2,5,1,1,1,3,1,3,1,5,2,1,4,3,3,1,4,5,1,4,1,1,5,2,5,3,2,4,2,3,2,2001,2,5,1,2,1,10,19.5
,1,2,5,5,1,2,2,2,3,1,2,4,5,2,1,1,2,1,3,1,5,1,5,2,2,5,1,3,1,3,2,1,4,1,1,1,2006,1,2,1,1,1,3,29
,1,1,5,3,2,1,5,1,1,5,1,2,3,1,5,4,1,5,5,1,1,1,5,5,5,5,3,5,1,5,1,5,5,5,5,1,2007,2,3,1,2,1,8,26
,1,1,5,5,1,5,5,1,1,4,5,5,1,4,5,5,5,1,2,1,5,5,5,5,3,5,5,1,5,5,5,1,1,1,5,5,2005,1,2,1,1,1,10,28.5
,4,3,5,4,1,4,5,5,1,1,1,3,3,5,3,1,2,2,4,1,3,1,4,1,4,4,1,4,4,2,1,3,1,1,1,5,2003,2,2,2,2,2,10,21.5
,4,1,5,5,4,5,1,1,1,4,3,3,4,3,5,1,2,1,5,5,5,2,5,1,5,2,3,2,3,1,2,1,3,1,1,3,2004,2,2,2,1,1,10,12.5
,4,5,5,1,3,4,5,4,4,4,2,5,5,4,4,4,5,3,4,1,5,1,4,3,5,5,5,2,4,5,1,1,2,4,5,1,2004,2,2,1,1,1,9,20
,1,1,5,1,1,5,5,1,1,4,1,2,1,2,4,5,2,4,1,1,3,2,2,1,2,4,1,1,2,2,1,4,1,1,4,1,1996,1,2,1,2,1,5,28
,1,1,5,3,1,5,5,5,1,1,1,3,4,3,5,3,5,1,1,1,1,1,5,1,5,5,1,3,1,5,1,1,5,1,5,1,2007,2,2,1,1,1,10,31
,1,2,5,5,1,1,5,5,3,1,4,1,4,4,4,5,2,2,1,1,5,1,5,4,3,5,5,4,1,5,5,3,5,4,3,1,2004,2,2,1,1,1,4,27
,3,1,3,5,2,3,5,1,1,4,1,4,1,4,5,3,4,5,5,4,2,1,5,1,3,5,3,3,1,3,3,2,5,1,1,5,2006,2,2,1,1,2,10,29.5
,2,1,5,4,1,4,4,3,1,3,1,1,2,3,4,1,3,3,1,1,1,1,3,1,1,5,1,2,3,4,1,2,5,1,1,2,2000,1,2,1,2,3,5,24.5
,1,2,5,1,1,3,5,3,1,1,1,1,3,3,4,2,4,1,3,1,4,1,4,1,2,4,4,1,1,1,3,1,1,1,1,3,2006,1,2,1,1,2,1,29.5
,1,1,5,3,1,5,5,2,2,4,2,4,5,3,4,4,4,1,2,1,1,1,1,3,1,5,4,5,3,4,2,2,3,1,4,5,1995,1,2,1,2,2,9,27
,1,1,5,1,1,5,5,4,2,5,1,4,3,3,5,1,4,2,3,1,3,1,5,1,5,4,4,5,1,4,3,1,4,1,3,4,1995,1,2,1,2,2,9,27
,1,1,5,1,1,4,5,1,1,3,1,5,1,4,4,1,3,1,3,1,5,1,5,4,5,5,3,1,1,1,3,1,1,3,4,3,2006,2,2,1,2,1,5,28.5
,3,1,5,1,1,3,5,1,1,3,1,3,1,4,5,1,1,3,1,1,1,3,1,1,3,5,1,1,1,5,1,3,1,1,1,1,2005,1,2,2,1,1,7,31
,1,1,5,2,1,4,1,1,1,1,1,2,1,4,4,1,4,1,5,1,1,2,5,1,1,5,1,1,1,4,1,4,1,1,1,1,2005,1,2,2,1,1,7,28
,2,1,5,5,1,4,5,4,1,5,3,2,3,3,2,5,3,1,1,1,2,2,4,1,3,5,4,2,1,2,3,3,1,4,3,5,2007,1,2,1,1,2,5,25
,2,1,5,4,2,4,4,3,1,5,1,4,2,4,5,2,3,4,5,2,5,3,4,4,5,5,3,1,5,4,5,4,5,1,1,3,2007,2,2,1,1,2,3,17.5
,1,1,5,4,1,3,2,1,2,4,2,4,4,4,4,2,4,3,5,1,5,3,2,4,4,4,2,1,4,3,2,4,5,3,5,1,2007,2,2,1,1,2,3,17
,3,1,5,3,1,5,4,4,1,1,1,3,3,2,5,4,3,3,5,2,5,2,5,2,3,5,4,2,1,4,1,2,1,2,4,3,2007,2,2,1,2,1,5,22.5
,3,1,5,5,1,5,3,3,2,4,4,4,4,4,3,3,1,2,2,1,1,1,5,2,2,5,4,2,1,4,2,3,1,2,2,3,2007,1,2,1,1,2,5,16
,1,4,3,5,1,1,5,1,1,1,1,2,1,5,3,1,4,2,5,1,4,1,4,1,4,4,1,2,1,4,1,1,2,1,1,1,2006,2,2,2,1,3,7,29.5
,2,5,2,5,1,3,4,3,1,4,1,5,4,3,5,5,4,1,5,1,5,1,2,5,2,3,1,3,1,5,1,4,5,1,3,4,2005,1,2,1,1,1,5,21.5
,1,1,5,5,1,1,5,1,1,1,1,4,1,5,5,1,5,3,5,1,1,2,5,3,4,5,1,1,1,1,1,1,1,1,1,1,2006,2,2,2,1,3,6,28.5
,1,1,2,3,1,3,4,1,1,4,1,1,1,3,1,1,1,1,5,1,1,1,3,1,3,3,5,1,1,5,1,1,1,1,5,3,1994,1,2,2,1,2,8,33.5
,1,1,5,3,1,5,2,1,1,1,1,1,1,4,4,1,2,1,1,1,3,1,3,4,1,4,1,3,1,3,1,1,1,1,1,3,1994,1,2,2,1,2,8,29
,1,1,5,1,1,5,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,5,5,1,5,5,1,1,1,5,1,1,1,1,1,1,1994,1,2,2,1,2,8,32.5
,3,1,4,1,1,1,5,3,1,1,1,1,1,4,3,2,3,1,1,1,3,1,3,1,3,5,1,4,1,4,5,2,1,1,1,3,2006,1,2,1,1,1,3,35.5
,1,1,1,1,1,1,5,1,3,1,1,1,1,5,5,1,1,1,1,1,1,1,5,1,3,3,1,1,3,3,1,1,1,5,5,5,1994,1,2,2,1,1,8,45.5
,3,1,5,3,1,3,5,1,1,5,1,2,1,5,4,4,1,4,4,3,1,2,3,5,5,5,1,2,1,3,2,1,2,1,1,1,2003,2,2,2,2,3,6,22.5
,1,2,5,1,1,1,5,2,2,3,1,3,2,3,5,2,2,1,2,1,4,2,1,2,4,5,2,3,1,4,1,1,2,3,3,3,2002,2,5,1,1,2,7,34.5
,1,1,4,5,1,1,4,3,1,1,1,4,1,5,3,1,1,1,4,1,3,1,5,1,5,4,5,1,1,5,5,5,1,1,5,1,1998,2,2,1,2,2,4,26.5
,1,5,4,1,1,1,5,4,1,1,1,1,1,1,4,5,5,1,4,5,5,1,5,5,1,5,1,5,1,1,1,1,1,1,1,1,1986,2,2,1,1,2,1,30.5
,1,1,5,1,1,1,4,2,1,1,1,4,1,2,4,1,4,1,1,1,1,2,1,4,1,4,1,1,1,5,5,2,1,3,2,3,1996,1,2,1,2,2,2,36.5
,2,1,5,4,3,4,4,1,1,4,1,3,3,4,4,4,3,1,4,1,1,2,4,4,2,5,2,2,2,3,2,3,2,3,4,2,2007,2,2,2,2,1,5,21
,1,1,5,4,2,1,3,5,3,3,1,3,1,4,4,1,2,2,4,1,5,2,2,2,3,5,5,1,2,5,2,2,5,1,5,4,2007,2,3,1,1,2,6,27.5
,1,1,5,1,1,1,5,4,1,4,1,4,1,4,5,1,5,2,4,1,1,3,5,2,3,4,4,1,1,5,1,3,4,1,1,1,2005,2,2,1,1,1,6,26.5
,1,2,5,3,1,5,4,3,2,5,1,4,1,3,4,3,3,3,3,1,4,4,4,1,4,5,3,4,3,2,4,1,5,1,1,3,2007,2,2,1,1,1,3,21
,5,1,5,2,1,1,4,1,1,5,1,3,1,3,5,1,1,1,5,2,5,3,5,1,5,5,5,1,1,3,1,3,1,1,1,1,2005,2,2,1,1,1,6,26
,4,1,5,3,3,4,5,5,3,5,3,4,2,5,4,2,5,1,4,1,5,1,5,1,3,2,2,3,4,1,5,1,4,4,2,4,2006,2,2,1,2,2,6,26.5
,1,1,5,3,1,5,4,1,1,1,1,5,1,5,5,4,4,4,3,1,3,1,5,1,4,5,4,1,1,2,1,5,1,1,4,3,2007,1,2,1,1,2,8,24
,1,3,5,5,1,3,4,1,4,4,2,1,3,3,2,4,2,3,3,3,4,4,5,2,3,5,1,1,1,1,1,2,1,5,1,1,2007,2,2,2,3,3,7,22
,3,1,5,2,1,3,4,5,1,3,1,5,1,5,5,3,1,1,5,1,4,1,5,1,2,5,4,1,1,1,1,1,1,2,5,4,2007,2,2,1,1,2,4,27.5
,3,1,5,4,1,4,5,4,2,5,1,5,2,4,5,1,2,2,4,1,5,2,5,4,2,5,1,3,4,5,5,5,3,1,5,1,2007,2,2,1,1,2,7,20
,1,1,5,1,1,3,5,1,1,3,1,1,2,3,5,1,4,2,3,2,1,1,1,1,1,1,3,1,1,1,5,2,1,4,5,1,2004,2,1,1,3,3,,40
,1,1,5,4,2,1,5,5,1,5,4,5,1,5,2,5,1,3,5,3,5,3,1,,5,5,4,1,3,5,1,3,5,3,1,3,2007,2,2,2,2,1,6,13
,4,2,5,3,1,1,5,5,2,5,3,4,1,3,5,3,4,4,4,3,4,4,2,4,4,5,5,3,1,4,5,2,2,2,5,4,2007,2,2,1,2,2,4,23
,1,1,5,3,1,1,5,5,1,1,1,5,2,3,4,5,5,2,1,1,5,1,4,3,3,5,1,4,1,5,5,1,2,2,5,4,2007,2,2,1,3,2,2,34
,1,4,5,2,1,5,5,5,1,1,1,4,4,5,4,5,5,1,4,1,5,2,5,1,5,5,5,5,4,5,5,3,1,1,5,5,2007,1,2,1,1,1,6,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actual Self-Reported Scores,1,7,3,1,3,2,9,2,6,2,0,1,0,3,10,0,10,0,1,2,0,0,1,0,4,10,2,4,1,4,10,0,0,10,10,10,,,,,,,,
Converted Self-Reported Scores,1.4,3.8,2.2,1.4,2.2,1.8,4.6,1.8,3.4,1.8,1,1.4,1,2.2,5,1,5,1,1.4,1.8,1,1,1.4,1,2.6,5,1.8,2.6,1.4,2.6,5,1,1,5,5,5,,,,,,,,
Average Predicted Score,1.953488372,1.76744186,4.5,2.94047619,1.546511628,3.174418605,4.220930233,2.611764706,1.55952381,2.790697674,1.752941176,3,2.162790698,3.38372093,4.023255814,2.588235294,2.918604651,2.046511628,3.209302326,1.651162791,2.953488372,1.906976744,3.639534884,2.164705882,3.058139535,4.341176471,2.790697674,2.453488372,1.976470588,3.441860465,2.464285714,2.453488372,2.395348837,1.953488372,2.965116279,2.581395349,,,,,,,,
