StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q87,JC1 ,LQ2,PP3,MM4,HZ5,GA6,DM7,AB8 ,AI9 ,BO10,BR11 ,CA12 ,DH13,EX14,GE15 ,GO16 ,HY17,JF18,LA19 ,LS20,NO21,PE22 ,PL23 ,PR24 ,PS25 ,SI26,TU27 ,TY28 ,VI29,WCH30,WCL31,WH32,WT33,XX34 ,RU35 ,QI36,Q41,Q42,Q43,Q44,Q45,Q46,Q84_1,SC0,id,Points
9/18/25 19:36,9/18/25 19:59,0,72.89.178.146,100,1391,1,9/18/25 19:59,R_5Xmwg5nWNicBvuV,,,,,40.66,-73.839,anonymous,EN,1,2,1,3,5,1,1,4,5,2,1,4,1,4,4,4,5,5,3,1,3,1,4,1,5,1,3,5,3,5,1,3,3,3,3,1,3,4,02/07/2005,1,2,1,1,1,6,29.5,32692,0
9/18/25 19:38,9/18/25 19:59,0,66.108.198.4,100,1304,1,9/18/25 19:59,R_3kqZvKutmoSINEt,,,,,40.6758,-73.8163,anonymous,EN,1,1,1,1,5,3,3,3,5,2,1,1,1,3,1,3,4,2,3,3,3,1,1,1,5,2,3,5,4,4,1,5,5,1,5,2,5,4,2003,2,2,1,1,2,5,34.5,32652,0
9/18/25 19:53,9/18/25 20:01,0,96.250.103.194,100,476,1,9/18/25 20:01,R_7Ed2pqOzqBmAIoM,,,,,40.6537,-73.7151,anonymous,EN,1,1,1,1,5,3,1,1,5,4,1,5,1,3,1,3,5,1,3,1,3,1,4,2,3,1,3,5,3,1,3,4,3,1,1,1,5,1,2006,2,2,1,1,1,8,30,32903,0
9/18/25 19:30,9/18/25 20:03,0,72.226.33.159,100,1964,1,9/18/25 20:03,R_3AKot02GQOQvkkV,,,,,40.7465,-73.909,anonymous,EN,1,1,1,1,5,1,1,4,5,1,1,5,1,3,1,4,5,4,1,1,4,2,1,1,3,1,2,5,5,2,1,5,3,1,3,2,4,1,2005,2,2,1,2,2,7,30.5,32753,0
9/18/25 19:53,9/18/25 20:06,0,69.204.228.97,100,811,1,9/18/25 20:06,R_6Kx6vxjVgG5mOi2,,,,,40.726,-73.848,anonymous,EN,1,3,1,2,5,5,1,3,5,3,1,3,1,3,2,1,5,5,5,1,4,2,3,1,5,3,1,5,5,3,2,3,1,3,2,1,2,1,2005,2,2,1,1,1,10,26,32784,0
9/18/25 20:28,9/18/25 20:34,0,104.162.178.167,100,349,1,9/18/25 20:34,R_1ImHcgpp01Z2Ur7,,,,,40.726,-73.848,anonymous,EN,1,1,4,1,3,2,4,4,4,4,4,1,1,3,1,4,1,2,5,5,5,4,3,1,1,3,4,3,5,3,3,2,4,5,3,5,2,5,1987,1,2,1,1,1,8,21,32687,0
9/18/25 20:34,9/18/25 20:37,0,104.162.178.167,100,193,1,9/18/25 20:37,R_5ByOYgpjZEBN8bn,,,,,40.726,-73.848,anonymous,EN,1,3,5,4,3,,4,5,2,4,1,5,3,4,1,3,5,2,1,1,4,2,4,3,3,3,2,4,2,5,2,4,,5,2,1,2,2,1987,1,2,1,1,1,8,18.5,32687,0
9/18/25 20:38,9/18/25 20:41,0,104.162.178.167,100,165,1,9/18/25 20:41,R_1mtqBb0fL8QCGK3,,,,,40.726,-73.848,anonymous,EN,1,3,1,4,2,5,3,4,2,5,2,5,3,1,3,2,4,4,5,1,2,2,3,5,3,1,1,5,3,1,2,1,3,5,5,5,4,5,1987,1,2,1,,1,8,29.5,32687,0
9/18/25 20:15,9/18/25 20:51,0,68.129.46.131,100,2147,1,9/18/25 20:51,R_5qVvtcLzjkJU54h,,,,,40.6327,-73.6333,anonymous,EN,1,1,3,1,5,5,1,4,5,1,1,1,1,5,2,4,3,3,1,4,4,1,1,1,2,2,3,5,1,3,2,5,1,3,3,1,2,3,2001,1,2,2,2,1,8,19,32607,0
9/18/25 22:13,9/18/25 22:17,0,68.129.58.168,100,278,1,9/18/25 22:17,R_5HhKxsMH0EtjrDC,,,,,40.6598,-73.6371,anonymous,EN,1,1,4,2,2,2,5,2,2,4,3,2,2,4,1,2,4,4,4,1,3,5,1,3,2,1,1,3,3,4,1,3,2,2,1,3,5,1,2007,2,5,1,1,1,7,34.5,32881,0
9/18/25 22:18,9/18/25 22:19,0,68.129.58.168,100,79,1,9/18/25 22:19,R_3zTR6jMV0JrHpGl,,,,,40.6598,-73.6371,anonymous,EN,1,1,4,4,5,5,1,2,3,1,2,3,3,2,4,5,2,2,1,5,2,2,5,4,3,3,2,4,1,4,4,2,1,2,1,2,3,4,2007,2,5,1,1,1,8,19.5,32881,0
9/18/25 23:10,9/18/25 23:31,0,72.69.61.50,100,1297,1,9/18/25 23:31,R_7nSDjJhmwfcVGrD,,,,,40.7852,-73.8098,anonymous,EN,1,1,1,3,5,2,3,5,5,5,1,1,4,5,2,2,5,1,5,1,4,2,1,1,1,2,4,1,1,3,3,5,4,4,2,5,3,5,1999,2,5,1,2,3,8,34,32691,0
9/18/25 23:01,9/18/25 23:40,0,167.206.55.130,100,2297,1,9/18/25 23:40,R_7jTIHUB1qXuem9K,,,,,40.7801,-73.2458,anonymous,EN,1,1,1,1,5,3,1,3,5,4,1,2,1,2,3,4,5,4,4,1,4,1,3,1,1,2,3,5,1,1,3,5,3,5,2,1,5,1,07171995,2,2,2,1,2,10,28,32606,0
9/18/25 23:32,9/18/25 23:42,0,72.69.61.50,100,574,1,9/18/25 23:42,R_7EZ0mXLaKqCr32W,,,,,40.7852,-73.8098,anonymous,EN,1,1,1,1,2,5,1,5,2,5,1,2,4,5,1,2,5,1,5,2,1,1,1,1,1,1,3,3,2,1,2,1,4,1,5,1,5,4,1999,2,5,1,2,2,10,39,32691,0
9/18/25 23:41,9/19/25 0:13,0,167.206.55.130,100,1933,1,9/19/25 0:13,R_1mUyf3HU3OgaGok,,,,,40.7801,-73.2458,anonymous,EN,1,1,4,1,5,3,1,3,5,1,1,4,1,1,5,4,4,1,1,1,4,1,3,1,3,3,3,,5,3,2,4,3,3,3,1,4,4,07/17/1995,2,,,1,2,10,21,32606,0
9/19/25 0:16,9/19/25 0:28,0,68.83.56.253,100,705,1,9/19/25 0:28,R_68IBkum2B2PMQiO,,,,,40.4327,-74.4197,anonymous,EN,1,1,1,1,5,1,1,1,5,1,1,3,1,1,1,2,4,1,1,3,2,3,4,1,4,1,1,5,1,1,2,3,1,1,1,3,1,1,2004,2,2,1,1,2,9,34,32689,0
9/19/25 0:28,9/19/25 0:29,0,68.83.56.253,100,81,1,9/19/25 0:29,R_5ERSMFI7IctX1ey,,,,,40.4327,-74.4197,anonymous,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,2,2,1,1,2,9,0,32689,0
9/19/25 6:38,9/19/25 6:39,0,162.84.137.185,100,12,1,9/19/25 6:39,R_6N1R5M9oKpiwmv7,,,,,40.694,-73.9901,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
9/19/25 6:39,9/19/25 6:41,0,162.84.137.185,100,125,1,9/19/25 6:41,R_6aJmLrllMhD7Jy9,,,,,40.694,-73.9901,anonymous,EN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,2,34,,0
9/19/25 8:15,9/19/25 8:16,1,,100,41,1,9/19/25 8:16,R_58A6BIsziaEG1DH,,,,,40.694,-73.9901,preview,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,2,,,0,,0
9/19/25 8:28,9/19/25 8:29,1,,100,34,1,9/19/25 8:29,R_5x6H6jqTnrgvkCB,,,,,40.694,-73.9901,preview,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,,0
9/19/25 8:30,9/19/25 8:31,1,,100,24,1,9/19/25 8:31,R_5dWksLDrzZ3pq0x,,,,,40.694,-73.9901,preview,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
9/19/25 9:02,9/19/25 9:14,0,24.186.4.73,100,719,1,9/19/25 9:14,R_63qHaDIpR9vUGvJ,,,,,40.7244,-73.6484,anonymous,EN,1,1,1,1,5,2,2,1,5,4,1,5,1,2,3,4,5,5,5,1,4,1,4,1,5,1,1,3,4,3,3,1,4,1,1,4,4,1,2006,2,2,1,1,1,9,28.5,32669,0
9/19/25 8:04,9/19/25 10:56,0,163.116.157.98,100,10332,1,9/19/25 10:56,R_7fkRN9MIczhS7Ax,,,,,40.7126,-74.0066,anonymous,EN,1,1,3,1,5,3,1,4,5,2,2,5,1,4,1,5,5,2,1,4,3,1,2,2,5,1,4,5,3,1,4,4,1,4,1,1,2,1,2005,2,5,1,2,2,,22,32726,0
9/19/25 11:27,9/19/25 12:05,0,108.29.122.85,100,2290,1,9/19/25 12:05,R_3nfHLejp6aiZWnv,,,,,40.7196,-73.7463,anonymous,EN,1,1,2,1,5,3,1,3,5,4,2,1,1,5,1,4,5,4,3,4,2,2,5,4,2,5,3,4,1,4,4,5,1,3,2,3,5,1,2005,2,3,1,2,3,1,23.5,32795,0
9/19/25 11:17,9/19/25 12:06,0,149.4.123.243,100,2962,1,9/19/25 12:07,R_1DFJbdouFAQ6UbT,,,,,40.7297,-73.8163,anonymous,EN,1,3,4,1,5,5,1,5,4,,4,1,4,4,1,4,1,1,5,4,1,1,1,1,5,1,5,5,1,4,4,5,1,5,1,1,1,5,2005,2,5,2,1,1,0,25.5,32752,0
9/19/25 11:49,9/19/25 12:12,0,172.56.167.35,100,1392,1,9/19/25 12:12,R_30oZxl3duPtfj1x,,,,,40.6764,-73.8753,anonymous,EN,1,3,1,5,5,4,1,4,5,2,1,2,1,4,2,3,5,1,1,3,4,1,4,4,5,1,4,4,1,5,2,5,3,1,3,2,4,1,2005,2,2,1,2,2,5,25.5,32840,0
9/19/25 13:15,9/19/25 13:20,0,108.6.162.64,100,308,1,9/19/25 13:20,R_6s1zajMBQb16ERB,,,,,40.789,-73.7262,anonymous,EN,1,1,1,4,5,5,2,1,5,1,1,1,1,3,5,4,5,1,1,3,5,1,1,1,5,1,1,5,4,1,1,5,1,1,5,2,5,1,2006,2,2,1,2,2,8,30,32772,0
9/19/25 13:21,9/19/25 13:22,0,108.6.162.64,100,87,1,9/19/25 13:22,R_1pb3G6ipqkXwnx7,,,,,40.789,-73.7262,anonymous,EN,1,1,4,3,1,,1,5,5,4,,1,5,1,2,1,3,,5,3,4,3,3,1,5,1,3,5,5,1,,3,5,1,1,3,1,3,06,2,2,1,2,2,8,26,32772,0
9/19/25 14:03,9/19/25 14:35,0,108.27.214.189,100,1896,1,9/19/25 14:35,R_1HAxK9JeNxhwaKl,,,,,40.7584,-73.7973,anonymous,EN,1,1,3,2,5,1,2,5,5,1,1,1,4,3,5,5,1,1,1,1,3,1,1,2,5,3,3,5,5,3,1,2,1,4,1,1,1,3,2001,1,2,2,1,1,2,23.5,32835,0
9/19/25 15:01,9/19/25 15:03,0,108.6.162.64,100,114,1,9/19/25 15:03,R_7kFY9mAYhrZSzHF,,,,,40.789,-73.7262,anonymous,EN,1,1,1,5,5,5,1,1,1,1,,5,5,1,5,3,5,5,3,1,5,5,1,5,1,5,5,5,5,1,5,1,,5,4,2,5,1,06,2,2,1,2,2,8,18.5,32772,0
9/19/25 17:25,9/19/25 17:47,0,172.56.164.236,100,1288,1,9/19/25 17:47,R_60Zf0aIZxK7lVzq,,,,,40.7465,-73.909,anonymous,EN,1,1,1,1,5,1,1,5,5,1,1,1,1,1,1,1,5,5,5,1,1,4,5,1,5,1,1,5,5,4,1,5,1,1,1,1,1,1,2006,2,2,1,1,1,5,36,32603,0
9/19/25 18:03,9/19/25 18:44,0,47.230.105.187,100,2404,1,9/19/25 18:44,R_6l4bVnCfZR8qknX,,,,,40.6636,-73.7413,anonymous,EN,1,1,2,2,5,3,1,1,5,3,2,4,4,1,1,3,5,3,2,1,4,1,1,4,1,1,3,5,5,1,1,4,1,1,2,1,4,1,2006,2,1,2,1,2,0,30.5,32743,0
9/20/25 11:04,9/20/25 11:26,0,68.132.131.111,100,1302,1,9/20/25 11:26,R_7Qsqngx7zlTE7fK,,,,,40.705,-73.9038,anonymous,EN,1,1,3,1,5,1,3,5,3,3,2,1,1,5,1,1,5,1,1,1,3,1,5,1,1,3,5,5,1,3,3,5,4,1,1,1,5,5,2000,1,2,1,2,1,4,31,32789,0
9/20/25 10:31,9/20/25 11:30,0,142.255.125.83,100,3554,1,9/20/25 11:30,R_53V1SIN3Bjz00kF,,,,,40.6631,-73.7601,anonymous,EN,1,1,1,1,5,4,3,3,5,2,2,5,1,4,1,4,5,2,2,3,3,3,4,1,4,1,5,5,5,4,2,4,3,4,5,2,4,4,02/27/2007,2,3,1,3,2,7,26.5,32780,0
9/20/25 12:12,9/20/25 12:30,0,66.108.132.16,100,1115,1,9/20/25 12:31,R_1aY0BXq8jqwCOcU,,,,,40.698,-73.7623,anonymous,EN,1,1,4,3,5,4,1,2,5,1,1,1,3,1,3,1,5,2,1,4,3,3,1,4,5,1,4,1,1,5,2,5,3,2,4,2,3,2,2001,2,5,1,2,1,10,19.5,32666,0
9/20/25 12:46,9/20/25 12:53,0,108.6.255.208,100,407,1,9/20/25 12:53,R_7T2HWKc26h0dHJ7,,,,,40.7637,-73.7695,anonymous,EN,1,1,1,2,5,5,1,2,2,2,3,1,2,4,5,2,1,1,2,1,3,1,5,1,5,2,2,5,1,3,1,3,2,1,4,1,1,1,2006,1,2,1,1,1,3,29,32605,0
9/21/25 10:58,9/21/25 11:06,0,149.4.123.241,100,484,1,9/21/25 11:06,R_7q3cWbYsFJKbTMf,,,,,40.7297,-73.8163,anonymous,EN,1,1,1,1,5,3,2,1,5,1,1,5,1,2,3,1,5,4,1,5,5,1,1,1,5,5,5,5,3,5,1,5,1,5,5,5,5,1,2007,2,3,1,2,1,8,26,32927,0
9/21/25 13:28,9/21/25 13:50,0,96.246.176.91,100,1271,1,9/21/25 13:50,R_6sHwwM3ZCwG4RlD,,,,,40.7609,-73.9115,anonymous,EN,1,3,1,1,5,5,1,5,5,1,1,4,5,5,1,4,5,5,5,1,2,1,5,5,5,5,3,5,5,1,5,5,5,1,1,1,5,5,2005,1,2,1,1,1,10,28.5,32719,0
9/21/25 14:26,9/21/25 15:02,0,68.193.16.133,100,2201,1,9/21/25 15:02,R_5H6oGYJ81faIfls,,,,,40.6801,-73.9207,anonymous,EN,1,1,4,3,5,4,1,4,5,5,1,1,1,3,3,5,3,1,2,2,4,1,3,1,4,1,4,4,1,4,4,2,1,3,1,1,1,5,2003,2,2,2,2,2,10,21.5,32383,0
9/21/25 14:50,9/21/25 15:04,0,74.72.3.29,100,845,1,9/21/25 15:04,R_5L5aUJm5UWrrFFq,,,,,40.7681,-73.8291,anonymous,EN,1,1,4,1,5,5,4,5,1,1,1,4,3,3,4,3,5,1,2,1,5,5,5,2,5,1,5,2,3,2,3,1,2,1,3,1,1,3,2004,2,2,2,1,1,10,12.5,32713,0
9/21/25 15:56,9/21/25 16:25,0,98.116.170.240,100,1751,1,9/21/25 16:25,R_7V7qfRB2Jwegor0,,,,,40.6981,-73.7053,anonymous,EN,1,1,4,5,5,1,3,4,5,4,4,4,2,5,5,4,4,4,5,3,4,1,5,1,4,3,5,5,5,2,4,5,1,1,2,4,5,1,2004,2,2,1,1,1,9,20,32929,0
9/21/25 15:41,9/21/25 16:31,0,24.190.253.67,100,3007,1,9/21/25 16:31,R_12gwkepAWIvNelD,,,,,40.7924,-74.0096,anonymous,EN,1,1,1,1,5,1,1,5,5,1,1,4,1,2,1,2,4,5,2,4,1,1,3,2,2,1,2,4,1,1,2,2,1,4,1,1,4,1,1996,1,2,1,2,1,5,28,32875,0
9/21/25 17:56,9/21/25 18:04,0,147.4.36.76,100,456,1,9/21/25 18:04,R_1YzgFD2I1heFavE,,,,,40.7193,-73.6008,anonymous,EN,1,1,1,1,5,3,1,5,5,5,1,1,1,3,4,3,5,3,5,1,1,1,1,1,5,1,5,5,1,3,1,5,1,1,5,1,5,1,2007,2,2,1,1,1,10,31,32620,0
9/14/25 19:39,9/14/25 19:40,0,100.0.177.147,6,53,0,9/21/25 19:40,R_6EhSq5IlefBY98o,,,,,42.7117,-71.1663,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
9/21/25 20:26,9/21/25 20:39,0,172.226.200.147,100,822,1,9/21/25 20:39,R_33l6w2Vj5dHhjmT,,,,,40.6564,-73.6754,anonymous,EN,1,1,1,2,5,5,1,1,5,5,3,1,4,1,4,4,4,5,2,2,1,1,5,1,5,4,3,5,5,4,1,5,5,3,5,4,3,1,2004,2,2,1,1,1,4,27,32389,0
9/21/25 20:41,9/21/25 20:54,0,67.87.244.64,100,794,1,9/21/25 20:54,R_3LXWB10SicoAtPH,,,,,40.789,-73.7262,anonymous,EN,1,1,3,1,3,5,2,3,5,1,1,4,1,4,1,4,5,3,4,5,5,4,2,1,5,1,3,5,3,3,1,3,3,2,5,1,1,5,2006,2,2,1,1,2,10,29.5,32702,0
9/22/25 6:14,9/22/25 6:38,0,108.14.12.192,100,1448,1,9/22/25 6:38,R_5JRBr1VOERO2QnY,,,,,40.7584,-73.7973,anonymous,EN,1,1,2,1,5,4,1,4,4,3,1,3,1,1,2,3,4,1,3,3,1,1,1,1,3,1,1,5,1,2,3,4,1,2,5,1,1,2,2000,1,2,1,2,3,5,24.5,32890,0
9/22/25 9:55,9/22/25 10:19,0,172.56.165.157,100,1431,1,9/22/25 10:19,R_5MmVtuLKFpCVhDR,,,,,40.6764,-73.8753,anonymous,EN,1,1,1,2,5,1,1,3,5,3,1,1,1,1,3,3,4,2,4,1,3,1,4,1,4,1,2,4,4,1,1,1,3,1,1,1,1,3,2006,1,2,1,1,2,1,29.5,32705,0
9/22/25 10:01,9/22/25 10:34,0,173.56.206.17,100,1972,1,9/22/25 10:34,R_1NfbUrsKkCEOp3b,,,,,40.7279,-73.5118,anonymous,EN,1,1,1,1,5,3,1,5,5,2,2,4,2,4,5,3,4,4,4,1,2,1,1,1,1,3,1,5,4,5,3,4,2,2,3,1,4,5,1995,1,2,1,2,2,9,27,32847,0
9/22/25 10:34,9/22/25 10:42,0,173.56.206.17,100,451,1,9/22/25 10:42,R_7ydYIPlYl3jV5jg,,,,,40.7279,-73.5118,anonymous,EN,1,1,1,1,5,1,1,5,5,4,2,5,1,4,3,3,5,1,4,2,3,1,3,1,5,1,5,4,4,5,1,4,3,1,4,1,3,4,1995,1,2,1,2,2,9,27,32847,0
